0.012070	0.0027859
0.074198	0.0027729
0.11422	0.0027560
0.16911	0.0027648
0.21194	0.0027736
0.25487	0.0027397
0.29755	0.0026624
0.32426	0.0020571
0.33127	0.00095732
0.33498	0.00047064
0.34199	0.00021780
0.34831	0.00010573
0.35557	0.000050325
0.36197	0.000027277
0.37111	0.000011593
0.37987	0.0000059793
0.38553	0.0000031944
0.39340	0.0000017008
0.39857	7.6337e-7
0.40578	3.2859e-7
0.40737	1.1559e-7
0.41048	4.2941e-8
0.41478	1.4503e-8
0.41641	5.5122e-9
0.41754	1.2068e-10
0.41762	3.1351e-10
0.41879	5.7350e-10
0.41891	1.7476e-9
0.42592	1.1853e-11
0.42592	2.0999e-11
0.42602	6.0376e-12
0.43158	1.5999e-10
0.43808	3.9886e-9
0.44050	2.1287e-8
0.44291	4.2444e-8
0.44524	8.7718e-8
0.44583	1.4939e-7
0.44709	3.4616e-7
0.45665	7.0423e-7
0.46774	0.0000015212
0.47528	0.0000034862
0.49329	0.0000089404
0.51037	0.000014841
0.53579	0.000031586
0.55765	0.000046196
0.58931	0.000059996
0.62105	0.000079060
0.65677	0.000092995
0.69238	0.00011083
0.73501	0.00011263
0.77765	0.00011766
0.82028	0.00011757
0.86291	0.00012053
0.90555	0.00012138
0.94818	0.00012122
0.99081	0.00012151
1.0334	0.00012236
1.0761	0.00012279
1.1187	0.00012163
1.1613	0.00012274
1.2040	0.00012297
1.2466	0.00012226
1.2892	0.00012182
1.3319	0.00012204
1.3745	0.00012315
1.4171	0.00012167
1.4598	0.00012310
1.5024	0.00012169
1.5450	0.00012191
1.5877	0.00012209
1.6303	0.00012185
1.6729	0.00012268
1.7156	0.00012179
1.7582	0.00012279
1.8008	0.00012110
1.8435	0.00012243
1.8861	0.00012237
1.9287	0.00012236
1.9665	0.00012335
