      dist_x	          pH	          Cl	          Ca	        C(4)	   k_Calcite	  dk_Calcite
0.005	2	0.010985	0	2.902E-25	0	0
0.015	2	0.010985	3.4987E-24	3.662E-24	0	0
0.025	2	0.010985	4.1965E-23	4.2154E-23	0	0
0.035	2	0.010985	4.7948E-22	4.7938E-22	0	0
0.045	2	0.010985	5.4189E-21	5.4188E-21	0	0
0.055	2	0.010985	6.1542E-20	6.1542E-20	0	0
0.065	2	0.010985	7.0364E-19	7.0364E-19	0	0
0.075	2	0.010985	8.048E-18	8.048E-18	0	0
0.085	2	0.010985	9.2052E-17	9.2052E-17	0	0
0.095	2	0.010985	1.0529E-15	1.0529E-15	0	0
0.105	2	0.010985	1.2043E-14	1.2043E-14	0	0
0.115	2	0.010985	1.3774E-13	1.3774E-13	0	0
0.125	2	0.010985	1.5754E-12	1.5754E-12	0	0
0.135	2	0.010985	1.8018E-11	1.8018E-11	0	0
0.145	2	0.010985	2.0608E-10	2.0608E-10	0	0
0.155	2	0.010985	2.3569E-09	2.3569E-09	0	0
0.165	2	0.010985	0.000000027	0.000000027	0	0
0.175	2.00002	0.010985	3.0827E-07	3.0827E-07	0	0
0.185	2.00028	0.010985	3.5254E-06	3.5254E-06	0	0
0.195	2.00326	0.010985	0.000040316	0.000040316	0	0
0.205	2.03872	0.010985	0.00046104	0.00046104	0	0
0.215	2.22066	0.010985	0.002166	0.002166	0	0
0.225	3.89857	0.010984	0.0054329	0.0054329	0.0050868864	-0.0053209
0.235	4.93571	0.010984	0.0056075	0.0056075	0.023973192	-0.00023666
0.245	5.18542	0.010984	0.0057018	0.0057018	0.02456064	-0.00010206
0.255	5.32231	0.010984	0.005778	0.005778	0.024838128	-0.000080684
0.265	5.41827	0.010984	0.0058457	0.0058457	0.025046244	-0.000070709
0.275	5.49332	0.010984	0.0059084	0.0059084	0.025220412	-0.000064579
0.285	5.55487	0.010984	0.0059671	0.0059671	0.02537244	-0.000060245
0.295	5.60726	0.010984	0.0060229	0.0060229	0.025509708	-0.000056931
0.305	5.65294	0.010984	0.0060762	0.0060762	0.025636644	-0.000054254
0.315	5.69349	0.010984	0.0061274	0.0061274	0.025753248	-0.000052007
0.325	5.72999	0.010984	0.0061768	0.0061768	0.025863948	-0.000050065
0.335	5.76319	0.010984	0.0062245	0.0062245	0.025967268	-0.00004835
0.345	5.79365	0.010984	0.0062708	0.0062708	0.02606616	-0.000046808
0.355	5.82181	0.010984	0.0063157	0.0063157	0.0261621	-0.000045403
0.365	5.84798	0.010984	0.0063593	0.0063593	0.026253612	-0.000044108
0.375	5.87244	0.010984	0.0064018	0.0064018	0.026340696	-0.000042903
0.385	5.89539	0.010984	0.0064431	0.0064431	0.026424828	-0.000041773
0.395	5.91701	0.010984	0.0064835	0.0064835	0.026507484	-0.000040707
0.405	5.93745	0.010984	0.0065228	0.0065228	0.026587188	-0.000039695
0.415	5.95682	0.010984	0.0065612	0.0065612	0.02666394	-0.000038732
0.425	5.97522	0.010984	0.0065986	0.0065986	0.026739216	-0.00003781
0.435	5.99275	0.010984	0.0066352	0.0066352	0.02681154	-0.000036924
0.445	6.00947	0.010984	0.006671	0.006671	0.026882388	-0.000036073
0.455	6.02546	0.010984	0.006706	0.006706	0.02695176	-0.00003525
0.465	6.04076	0.010984	0.0067401	0.0067401	0.027019656	-0.000034456
0.475	6.05535	0.010984	0.0067733	0.0067733	0.0270846	-0.000033688
0.485	6.06829	0.010984	0.0068033	0.0068033	0.027146592	-0.000032969
0.495	6.07654	0.010984	0.0068226	0.0068226	0.027193824	-0.000032427
