1.65E+00	3.00E-01	2.48E-06	3.50E-01	1.16E-04	1.15E-03
1.68E+00	3.00E-01	2.55E-06	3.50E-01	1.16E-04	1.07E-03
1.70E+00	3.00E-01	2.61E-06	3.50E-01	1.16E-04	9.86E-04
1.73E+00	3.00E-01	2.65E-06	3.50E-01	1.16E-04	9.04E-04
1.75E+00	3.00E-01	2.67E-06	3.50E-01	1.16E-04	8.22E-04
1.78E+00	3.00E-01	2.67E-06	3.50E-01	1.16E-04	7.39E-04
1.80E+00	3.00E-01	2.65E-06	3.50E-01	1.16E-04	6.57E-04
1.83E+00	3.00E-01	2.59E-06	3.50E-01	1.16E-04	5.75E-04
1.85E+00	3.00E-01	2.52E-06	3.50E-01	1.16E-04	4.93E-04
1.88E+00	3.00E-01	2.65E-06	3.50E-01	1.16E-04	4.11E-04
1.90E+00	3.00E-01	2.83E-06	3.50E-01	1.16E-04	3.29E-04
1.93E+00	3.00E-01	3.02E-06	3.50E-01	1.16E-04	2.46E-04
1.95E+00	3.00E-01	3.21E-06	3.50E-01	1.16E-04	1.64E-04
1.98E+00	3.00E-01	3.41E-06	3.50E-01	1.16E-04	8.22E-05
2.00E+00	3.00E-01	3.50E-06	3.50E-01	1.16E-04	0.00E+00
