      dist_x	          pH	          Cl	          Ca	        C(4)	   k_Calcite	  dk_Calcite
0.005	2	0.010985	1.1251E-15	1.1251E-15	0	0
0.015	2	0.010985	1.2369E-14	1.2369E-14	0	0
0.025	2	0.010985	1.4165E-13	1.4165E-13	0	0
0.035	2	0.010985	1.6208E-12	1.6208E-12	0	0
0.045	2	0.010985	1.8547E-11	1.8547E-11	0	0
0.055	2	0.010985	2.1224E-10	2.1224E-10	0	0
0.065	2	0.010985	2.4288E-09	2.4288E-09	0	0
0.075	2	0.010985	2.7794E-08	2.7794E-08	0	0
0.085	2.00003	0.010985	3.1807E-07	3.1807E-07	0	0
0.095	2.00029	0.010985	3.6398E-06	3.6398E-06	0	0
0.105	2.00337	0.010985	0.000041652	0.000041652	0	0
0.115	2.04009	0.010985	0.00047665	0.00047665	0	0
0.125	2.22716	0.010985	0.0022149	0.0022149	0	0
0.135	4.37074	0.010984	0.0055019	0.0055019	0.022371732	-0.0054413
0.145	5.05565	0.010984	0.0056469	0.0056469	0.025989408	-0.00015765
0.155	5.2425	0.010984	0.005731	0.005731	0.026300844	-0.000093526
0.165	5.36208	0.010984	0.0058045	0.0058045	0.026498628	-0.000077671
0.175	5.45021	0.010984	0.0058712	0.0058712	0.026653608	-0.00006926
0.185	5.51997	0.010984	0.005933	0.005933	0.02678202	-0.000063763
0.195	5.57813	0.010984	0.0059912	0.0059912	0.02689272	-0.00005976
0.205	5.62805	0.010984	0.0060466	0.0060466	0.026993088	-0.000056629
0.215	5.67185	0.010984	0.0060996	0.0060996	0.0270846	-0.000054062
0.225	5.71093	0.010984	0.0061506	0.0061506	0.027167256	-0.000051881
0.235	5.74622	0.010984	0.0061998	0.0061998	0.027245484	-0.000049981
0.245	5.77842	0.010984	0.0062473	0.0062473	0.027319284	-0.00004829
0.255	5.80804	0.010984	0.0062934	0.0062934	0.027388656	-0.000046762
0.265	5.83546	0.010984	0.0063382	0.0063382	0.0274536	-0.000045363
0.275	5.861	0.010984	0.0063817	0.0063817	0.027517068	-0.000044069
0.285	5.8849	0.010984	0.006424	0.006424	0.027577584	-0.000042861
0.295	5.90735	0.010984	0.0064653	0.0064653	0.027635148	-0.000041727
0.305	5.92851	0.010984	0.0065054	0.0065054	0.027691236	-0.000040654
0.315	5.94854	0.010984	0.0065446	0.0065446	0.027744372	-0.000039635
0.325	5.96753	0.010984	0.0065829	0.0065829	0.027797508	-0.000038663
0.335	5.98559	0.010984	0.0066202	0.0066202	0.027847692	-0.000037731
0.345	6.00279	0.010984	0.0066566	0.0066566	0.0278964	-0.000036837
0.355	6.01922	0.010984	0.0066922	0.0066922	0.027943632	-0.000035976
0.365	6.03494	0.010984	0.006727	0.006727	0.027990864	-0.000035144
0.375	6.05	0.010984	0.0067611	0.0067611	0.028035144	-0.000034339
0.385	6.06446	0.010984	0.0067943	0.0067943	0.028079424	-0.000033559
0.395	6.07835	0.010984	0.0068269	0.0068269	0.028122228	-0.000032802
0.405	6.09172	0.010984	0.0068587	0.0068587	0.028163556	-0.000032066
0.415	6.1046	0.010984	0.0068899	0.0068899	0.028204884	-0.000031349
0.425	6.11703	0.010984	0.0069204	0.0069204	0.028244736	-0.000030651
0.435	6.12903	0.010984	0.0069503	0.0069503	0.028283112	-0.000029969
0.445	6.14064	0.010984	0.0069795	0.0069795	0.028321488	-0.000029303
0.455	6.15186	0.010984	0.0070082	0.0070082	0.028358388	-0.000028652
0.465	6.16272	0.010984	0.0070363	0.0070363	0.028395288	-0.000028016
0.475	6.17318	0.010984	0.0070636	0.0070636	0.028430712	-0.000027395
0.485	6.18254	0.010984	0.0070883	0.0070883	0.028463184	-0.000026809
0.495	6.18855	0.010984	0.0071043	0.0071043	0.028488276	-0.000026364
